stage,epoch,loss,accuracy,val_loss,val_accuracy
frozen_base,1,0.9548539519309998,0.5617652535438538,0.5788020491600037,0.8158705830574036
frozen_base,2,0.4714701175689697,0.7988051772117615,0.3780432939529419,0.8929121494293213
frozen_base,3,0.31900250911712646,0.8726151585578918,0.2969457805156708,0.9191063046455383
frozen_base,4,0.24520690739154816,0.9036422967910767,0.2363869994878769,0.938366711139679
frozen_base,5,0.2051302045583725,0.9269608855247498,0.20001693069934845,0.9545454382896423
frozen_base,6,0.1738939732313156,0.9387165307998657,0.17781084775924683,0.9576271176338196
frozen_base,7,0.147993266582489,0.948544979095459,0.15802733600139618,0.9668720960617065
frozen_base,8,0.1390942484140396,0.9504721760749817,0.14960598945617676,0.9653312563896179
fine_tune,9,0.5018052458763123,0.7737521529197693,0.14605431258678436,0.946841299533844
fine_tune,10,0.14829660952091217,0.9458469748497009,0.09222719818353653,0.9637904763221741
fine_tune,11,0.09703262150287628,0.9653112292289734,0.05290143936872482,0.990755021572113
fine_tune,12,0.07258862257003784,0.9735980033874512,0.042522966861724854,0.9899845719337463
fine_tune,13,0.056245382875204086,0.9807284474372864,0.03150932863354683,0.9930662512779236
fine_tune,14,0.042512573301792145,0.9872807860374451,0.023971743881702423,0.9953774809837341
